Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
search_alone/1,4.6033426041153805e-2,4.0823557513043625e-2,4.754164198943109e-2,4.646852693291397e-3,2.239607571336374e-3,8.053424793737643e-3
search_alone/2,7.685931025963542e-2,7.304395406637217e-2,7.91296783451024e-2,6.03754590788159e-3,2.506767714226851e-3,1.0064709044843662e-2
search_alone/3,6.888629768053592e-2,6.521551984363104e-2,7.112120607757703e-2,5.411089270939638e-3,2.0890775984757732e-3,8.841689113498075e-3
search_alone/4,6.88795228710993e-2,6.336739026292904e-2,7.116338916165904e-2,6.051874347747476e-3,3.2852484143320124e-3,9.625268760194861e-3
search_alone/5,7.200538727609952e-2,6.725302295722256e-2,7.414996352997169e-2,5.512124713147075e-3,2.0682916173067043e-3,9.295601103577751e-3
search_alone/6,7.65017178974877e-2,7.292705804591001e-2,7.830601124914902e-2,5.159521714261755e-3,2.105231157614855e-3,8.95914245491106e-3
search_alone/7,8.03063078593651e-2,7.640597439989694e-2,8.219590144962448e-2,5.147345237613128e-3,2.383371843346854e-3,8.031443539132906e-3
search_alone/8,8.330958580476461e-2,8.0477297570087e-2,8.584621566002305e-2,5.301980326890108e-3,3.18810133350382e-3,8.34914963770491e-3
search_alone/9,8.468225778533678e-2,7.93924375448086e-2,8.646029566562173e-2,5.473387323020779e-3,2.031645910034951e-3,9.128837233766611e-3
search_alone/11,8.706767101081814e-2,8.277905522525804e-2,8.909090934048434e-2,5.5695095316416875e-3,1.9782436069588683e-3,9.01882313164768e-3
search_alone/13,8.736301527788637e-2,8.274517125974887e-2,8.967712115581138e-2,5.880166776401418e-3,2.55929465241845e-3,9.827198915698956e-3
search_alone/15,8.759179340042418e-2,8.280086002904076e-2,9.019211019545875e-2,6.341759665284531e-3,2.578140474343589e-3,1.0483514796269671e-2
search_alone/17,8.760631133239997e-2,8.303952077380689e-2,9.025333384434252e-2,6.320025898060719e-3,2.8590227646287524e-3,1.035748074332478e-2
search_alone/19,8.739957624300988e-2,8.331142779100896e-2,8.996794067013404e-2,5.940443897937566e-3,2.683349249605198e-3,9.910039650559904e-3
search_alone/17 b,5.556339314164611e-2,5.1661440730575055e-2,5.7751788657358874e-2,6.008423053531993e-3,3.349417591572439e-3,9.608250541971897e-3
search_alone/19 b,5.582289224392402e-2,5.200588494327082e-2,5.795804209396175e-2,6.4575772981712645e-3,3.388582296083067e-3,1.0667267118105207e-2
